index,source_index,raw_gripper_m,threshold_m,command_gripper_m,feedback_gripper_m
24,0,0.044146750,0.035000000,0.070000000,0.000000000
33,0,0.045135777,0.035000000,0.070000000,0.067500000
36,0,0.046247043,0.035000000,0.070000000,0.068800000
39,0,0.046232533,0.035000000,0.070000000,0.069000000
42,0,0.048323710,0.035000000,0.070000000,0.069000000
45,0,0.048213843,0.035000000,0.070000000,0.069000000
48,0,0.047969356,0.035000000,0.070000000,0.069000000
51,0,0.048249446,0.035000000,0.070000000,0.069000000
54,0,0.047563918,0.035000000,0.070000000,0.069000000
57,0,0.047636155,0.035000000,0.070000000,0.069100000
62,0,0.048421483,0.035000000,0.070000000,0.069100000
65,0,0.048204493,0.035000000,0.070000000,0.069100000
68,0,0.047393166,0.035000000,0.070000000,0.069100000
71,0,0.048854977,0.035000000,0.070000000,0.069200000
74,0,0.049033616,0.035000000,0.070000000,0.069300000
77,0,0.049496245,0.035000000,0.070000000,0.069400000
80,0,0.048269492,0.035000000,0.070000000,0.069300000
83,0,0.048928563,0.035000000,0.070000000,0.069300000
86,0,0.050274253,0.035000000,0.070000000,0.069300000
90,0,0.050312761,0.035000000,0.070000000,0.069300000
105,93,0.044046078,0.035000000,0.070000000,0.069300000
115,93,0.043001700,0.035000000,0.070000000,0.069300000
120,93,0.045232017,0.035000000,0.070000000,0.069300000
124,93,0.044603862,0.035000000,0.070000000,0.069300000
128,93,0.044093989,0.035000000,0.070000000,0.069300000
132,93,0.044586428,0.035000000,0.070000000,0.069300000
136,93,0.045109399,0.035000000,0.070000000,0.069300000
141,93,0.046483777,0.035000000,0.070000000,0.069300000
144,93,0.046613932,0.035000000,0.070000000,0.069300000
148,93,0.048088912,0.035000000,0.070000000,0.069300000
152,93,0.049026832,0.035000000,0.070000000,0.069300000
155,93,0.049425203,0.035000000,0.070000000,0.069300000
159,93,0.050100483,0.035000000,0.070000000,0.069300000
163,93,0.052793276,0.035000000,0.070000000,0.069300000
168,93,0.051757254,0.035000000,0.070000000,0.069300000
174,93,0.053118967,0.035000000,0.070000000,0.069300000
180,93,0.053824224,0.035000000,0.070000000,0.069300000
186,93,0.054041214,0.035000000,0.070000000,0.069300000
189,93,0.054555260,0.035000000,0.070000000,0.069300000
192,93,0.055112951,0.035000000,0.070000000,0.069300000
207,195,0.058202993,0.035000000,0.070000000,0.069300000
214,195,0.058100089,0.035000000,0.070000000,0.069300000
218,195,0.058234975,0.035000000,0.070000000,0.069300000
223,195,0.058313891,0.035000000,0.070000000,0.069300000
227,195,0.057821330,0.035000000,0.070000000,0.069300000
230,195,0.057839744,0.035000000,0.070000000,0.069300000
233,195,0.057322334,0.035000000,0.070000000,0.069300000
238,195,0.057406895,0.035000000,0.070000000,0.069300000
241,195,0.057439011,0.035000000,0.070000000,0.069300000
244,195,0.057151593,0.035000000,0.070000000,0.069300000
248,195,0.056940638,0.035000000,0.070000000,0.069300000
251,195,0.057564266,0.035000000,0.070000000,0.069300000
254,195,0.057501316,0.035000000,0.070000000,0.069300000
259,195,0.057208046,0.035000000,0.070000000,0.069300000
263,195,0.056650572,0.035000000,0.070000000,0.069300000
266,195,0.056719553,0.035000000,0.070000000,0.069300000
269,195,0.056538429,0.035000000,0.070000000,0.069300000
272,195,0.056537174,0.035000000,0.070000000,0.069300000
275,195,0.056381062,0.035000000,0.070000000,0.069300000
279,195,0.056699112,0.035000000,0.070000000,0.069300000
295,283,0.058739394,0.035000000,0.070000000,0.069300000
303,283,0.058635537,0.035000000,0.070000000,0.069300000
307,283,0.058098029,0.035000000,0.070000000,0.069300000
311,283,0.057786267,0.035000000,0.070000000,0.069300000
314,283,0.058208749,0.035000000,0.070000000,0.069300000
317,283,0.058075029,0.035000000,0.070000000,0.069300000
322,283,0.058111347,0.035000000,0.070000000,0.069300000
327,283,0.058198072,0.035000000,0.070000000,0.069300000
331,283,0.058104090,0.035000000,0.070000000,0.069300000
334,283,0.057422537,0.035000000,0.070000000,0.069300000
337,283,0.057218596,0.035000000,0.070000000,0.069400000
341,283,0.057842024,0.035000000,0.070000000,0.069400000
345,283,0.057376720,0.035000000,0.070000000,0.069400000
349,283,0.057765059,0.035000000,0.070000000,0.069400000
353,283,0.057651732,0.035000000,0.070000000,0.069400000
356,283,0.057955347,0.035000000,0.070000000,0.069400000
360,283,0.057631489,0.035000000,0.070000000,0.069400000
365,283,0.057446480,0.035000000,0.070000000,0.069400000
368,283,0.057498403,0.035000000,0.070000000,0.069400000
372,283,0.057549626,0.035000000,0.070000000,0.069400000
388,376,0.057379443,0.035000000,0.070000000,0.069400000
398,376,0.057193384,0.035000000,0.070000000,0.069400000
401,376,0.057288453,0.035000000,0.070000000,0.069400000
